ID_new,ID_current
0,6
2,38
15,6
57,4
63,38
73,169
103,38
109,39
114,0
126,38
140,37
143,3
150,37
177,1
189,37
195,37
201,38
202,38
227,4
240,4
243,169
249,38
250,3
254,39
255,38
261,38
267,35
270,38
273,3
277,38
284,35
285,38
289,38
331,38
334,6
348,169
351,32
356,38
358,38
390,169
394,1
397,37
423,6
464,3
469,38
486,38
517,0
521,39
531,37
533,36
540,38
552,169
556,35
564,38
569,38
612,39
614,169
625,34
627,3
628,35
662,39
670,2
673,6
689,38
726,35
750,38
755,3
759,39
760,37
761,6
767,4
775,38
776,35
789,39
791,39
809,39
811,4
822,169
831,35
866,37
873,38
878,36
895,38
935,39
945,169
964,36
971,0
987,169
